text,label
"According to the latest update, parliament debated the education bill",2
"Yesterday, parliament passed a new bill",2
"In the latest report, the legislature approved the measure",2
"Officials said, the player broke the tournament record",0
"During the event, the election commission released new guidelines",2
"Recently, researchers developed a faster battery",1
The legislature approved the measure,2
"New information shows, the stadium was filled with supporters",0
"According to the latest update, the tournament begins next week",0
"Officials said, the player broke the tournament record",0
"According to the latest update, parliament debated the education bill",2
"According to the latest update, the basketball team scored a last minute basket",0
"During the event, astronomers detected a distant galaxy",1
"In a recent announcement, the striker scored two goals",0
"According to the latest update, parliament debated the education bill",2
The athlete received a gold medal,0
"The latest report stated, the telescope captured images of a distant star",1
"Recently, the football team reached the final",0
"New information shows, scientists measured changes in ocean temperature",1
"In a recent announcement, scientists published the results of a new experiment",1
"Yesterday, india won the cricket match",0
"Yesterday, parliament passed a new bill",2
Parliament passed a new bill,2
"Officials said, researchers developed a method for detecting cancer earlier",1
"Recently, the football team reached the final",0
"In the latest report, the minister announced new regulations",2
"During the event, the study examined the effects of climate change",1
"Recently, officials announced a new public policy",2
"Today, scientists discovered a new planet",1
"In a recent announcement, scientists published the results of a new experiment",1
"Officials said, parliament approved the new amendment",2
"In a recent announcement, the election authority announced the voting schedule",2
"According to the latest update, astronomers observed an unusual signal from space",1
"During the event, the election commission released new guidelines",2
"The latest report stated, the president signed the new legislation",2
"In the latest report, researchers analyzed samples from the ocean floor",1
"New information shows, scientists measured changes in ocean temperature",1
"Today, the ministry announced changes to the program",2
"Recently, officials announced a new public policy",2
"Today, scientists discovered a new planet",1
"New information shows, the government released a statement about the policy",2
The study examined the effects of climate change,1
"New information shows, scientists measured changes in ocean temperature",1
"Today, researchers discovered a new chemical compound",1
"New information shows, the government released a statement about the policy",2
"According to the latest update, the tournament begins next week",0
"Yesterday, the government published its annual budget",2
"New information shows, scientists recorded a rare astronomical event",1
"Officials said, the team lost the opening match",0
"According to the latest update, astronomers observed an unusual signal from space",1
"Yesterday, parliament passed a new bill",2
"The latest report stated, the experiment produced promising results",1
"The latest report stated, the president signed the new legislation",2
"In a recent announcement, the player returned after an injury",0
"Officials said, the cabinet approved the proposal",2
"During the event, the election commission released new guidelines",2
"Yesterday, the laboratory tested the new material",1
"In a recent announcement, the election authority announced the voting schedule",2
"Recently, the goalkeeper made an important save",0
"According to the latest update, the tournament begins next week",0
"Yesterday, the batsman hit six boundaries",0
"Officials said, the team lost the opening match",0
"In a recent announcement, the election authority announced the voting schedule",2
"In a recent announcement, the player returned after an injury",0
"During the event, the study examined the effects of climate change",1
"Yesterday, india won the cricket match",0
"According to the latest update, the minister addressed parliament",2
The minister announced new regulations,2
"Recently, scientists studied how cells respond to stress",1
"Yesterday, the laboratory tested the new material",1
"In a recent announcement, scientists created a model of the Earth's atmosphere",1
"Recently, the goalkeeper made an important save",0
"In the latest report, researchers analyzed samples from the ocean floor",1
"According to the latest update, parliament debated the education bill",2
"Officials said, researchers developed a method for detecting cancer earlier",1
"Recently, the government approved the proposed budget",2
"According to the latest update, astronomers observed an unusual signal from space",1
"The latest report stated, the experiment produced promising results",1
"Officials said, parliament approved the new amendment",2
"The latest report stated, the referee stopped the game",0
"Recently, scientists studied how cells respond to stress",1
"During the event, the captain announced his retirement",0
"Officials said, researchers tested a new medical device",1
"During the event, the study examined the effects of climate change",1
"In a recent announcement, scientists published the results of a new experiment",1
"According to the latest update, astronomers observed an unusual signal from space",1
"New information shows, the parliament voted on the bill",2
"During the event, the study examined the effects of climate change",1
"During the event, astronomers detected a distant galaxy",1
"According to the latest update, the basketball team scored a last minute basket",0
"In a recent announcement, the striker scored two goals",0
"New information shows, scientists recorded a rare astronomical event",1
"During the event, the study examined the effects of climate change",1
"In the latest report, the minister announced new regulations",2
"According to the latest update, the tournament begins next week",0
"Officials said, parliament approved the new amendment",2
"In the latest report, the tennis player won the championship",0
"In a recent announcement, the government introduced a new tax policy",2
"New information shows, scientists measured changes in ocean temperature",1
"In a recent announcement, the government introduced a new tax policy",2
"The latest report stated, the referee stopped the game",0
"New information shows, the government released a statement about the policy",2
"New information shows, the athlete received a gold medal",0
"In a recent announcement, scientists published the results of a new experiment",1
"In a recent announcement, scientists published the results of a new experiment",1
"Today, virat Kohli scored a century",0
"Recently, the goalkeeper made an important save",0
"The latest report stated, the experiment produced promising results",1
"According to the latest update, researchers found evidence of ancient water on Mars",1
"In a recent announcement, the election authority announced the voting schedule",2
"Recently, researchers developed a faster battery",1
"In the latest report, scientists identified a new species",1
"Yesterday, india won the cricket match",0
"Recently, officials announced a new public policy",2
"New information shows, scientists measured changes in ocean temperature",1
The batsman hit six boundaries,0
"During the event, the study examined the effects of climate change",1
"According to the latest update, astronomers observed an unusual signal from space",1
"In the latest report, the runner finished first in the race",0
"New information shows, the stadium was filled with supporters",0
"Yesterday, the laboratory tested the new material",1
"Today, the government announced a new policy",2
"In the latest report, the runner finished first in the race",0
"Recently, scientists studied how cells respond to stress",1
"New information shows, scientists recorded a rare astronomical event",1
"The latest report stated, the telescope captured images of a distant star",1
"In the latest report, researchers analyzed samples from the ocean floor",1
"The latest report stated, the team won the series",0
"Today, researchers discovered a new chemical compound",1
"Officials said, parliament approved the new amendment",2
"According to the latest update, the tournament begins next week",0
"Today, the government announced a new policy",2
"Officials said, the team lost the opening match",0
"Today, virat Kohli scored a century",0
"New information shows, scientists recorded a rare astronomical event",1
"Recently, the goalkeeper made an important save",0
"The latest report stated, the referee stopped the game",0
"During the event, the government proposed changes to existing laws",2
"During the event, the election commission released new guidelines",2
"During the event, the cricket board announced the squad",0
"According to the latest update, parliament debated the education bill",2
Officials announced a new public policy,2
"Officials said, the cabinet approved the proposal",2
"Yesterday, the laboratory tested the new material",1
"According to the latest update, researchers found evidence of ancient water on Mars",1
"New information shows, scientists recorded a rare astronomical event",1
"During the event, the election commission released new guidelines",2
"Officials said, parliament approved the new amendment",2
"Officials said, the cabinet approved the proposal",2
"New information shows, the athlete received a gold medal",0
"Today, the ministry announced changes to the program",2
"Recently, the goalkeeper made an important save",0
"Today, scientists discovered a new planet",1
"The latest report stated, the president signed the new legislation",2
"According to the latest update, the minister addressed parliament",2
"During the event, the captain announced his retirement",0
"Today, scientists discovered a new planet",1
"Today, virat Kohli scored a century",0
"According to the latest update, parliament debated the education bill",2
"The latest report stated, the telescope captured images of a distant star",1
"During the event, the study examined the effects of climate change",1
"The latest report stated, the team won the series",0
"In a recent announcement, the striker scored two goals",0
"In the latest report, the legislature approved the measure",2
"Yesterday, the laboratory tested the new material",1
"In the latest report, the runner finished first in the race",0
"Yesterday, the laboratory tested the new material",1
"Officials said, the player broke the tournament record",0
"New information shows, the government released a statement about the policy",2
"In the latest report, scientists identified a new species",1
"The latest report stated, the president signed the new legislation",2
"In the latest report, the legislature approved the measure",2
"Recently, researchers developed a faster battery",1
"According to the latest update, researchers found evidence of ancient water on Mars",1
"Recently, the football team reached the final",0
"During the event, astronomers detected a distant galaxy",1
"The latest report stated, the cabinet discussed the economic plan",2
The government released a statement about the policy,2
"Recently, officials announced a new public policy",2
"The latest report stated, the cabinet discussed the economic plan",2
"Recently, scientists studied how cells respond to stress",1
"In the latest report, the minister announced new regulations",2
"Yesterday, nASA launched a new telescope",1
"The latest report stated, the referee stopped the game",0
"According to the latest update, the tournament begins next week",0
"In the latest report, the runner finished first in the race",0
The government published its annual budget,2
"In a recent announcement, the government introduced a new tax policy",2
"According to the latest update, researchers found evidence of ancient water on Mars",1
"During the event, the study examined the effects of climate change",1
"Yesterday, the laboratory tested the new material",1
"Officials said, researchers tested a new medical device",1
"Recently, the government approved the proposed budget",2
"During the event, the government proposed changes to existing laws",2
"The latest report stated, the telescope captured images of a distant star",1
"The latest report stated, the referee stopped the game",0
"Yesterday, the laboratory tested the new material",1
"The latest report stated, the telescope captured images of a distant star",1
"The latest report stated, the cabinet discussed the economic plan",2
"Recently, officials announced a new public policy",2
"In the latest report, the minister announced new regulations",2
"Officials said, researchers tested a new medical device",1
"New information shows, the athlete received a gold medal",0
"According to the latest update, the basketball team scored a last minute basket",0
"Recently, researchers developed a faster battery",1
"Yesterday, the laboratory tested the new material",1
"Today, researchers discovered a new chemical compound",1
"Recently, the football team reached the final",0
"New information shows, scientists measured changes in ocean temperature",1
"According to the latest update, the minister addressed parliament",2
"New information shows, scientists recorded a rare astronomical event",1
Researchers tested a new medical device,1
"Today, researchers discovered a new chemical compound",1
"According to the latest update, parliament debated the education bill",2
"In a recent announcement, scientists published the results of a new experiment",1
"The latest report stated, the cabinet discussed the economic plan",2
"In a recent announcement, the government introduced a new tax policy",2
"According to the latest update, the minister addressed parliament",2
"Recently, the football team reached the final",0
"Today, researchers discovered a new chemical compound",1
"Recently, the football team reached the final",0
"In the latest report, the legislature approved the measure",2
"In the latest report, the minister announced new regulations",2
"Yesterday, india won the cricket match",0
"Yesterday, the government published its annual budget",2
"According to the latest update, parliament debated the education bill",2
"New information shows, the stadium was filled with supporters",0
"Yesterday, the laboratory tested the new material",1
"New information shows, the parliament voted on the bill",2
"In the latest report, researchers analyzed samples from the ocean floor",1
"Officials said, parliament approved the new amendment",2
"New information shows, the government released a statement about the policy",2
"Today, the coach praised the team's performance",0
"In the latest report, the tennis player won the championship",0
"Today, the coach praised the team's performance",0
"In a recent announcement, the player returned after an injury",0
"The latest report stated, the team won the series",0
"During the event, astronomers detected a distant galaxy",1
"Officials said, the cabinet approved the proposal",2
"During the event, the study examined the effects of climate change",1
"Recently, scientists studied how cells respond to stress",1
"Officials said, parliament approved the new amendment",2
"In a recent announcement, the player returned after an injury",0
"Today, virat Kohli scored a century",0
"According to the latest update, researchers found evidence of ancient water on Mars",1
"Yesterday, the batsman hit six boundaries",0
"According to the latest update, the basketball team scored a last minute basket",0
"During the event, the election commission released new guidelines",2
"In a recent announcement, scientists published the results of a new experiment",1
"New information shows, the stadium was filled with supporters",0
"Recently, researchers developed a faster battery",1
"According to the latest update, the tournament begins next week",0
"New information shows, scientists measured changes in ocean temperature",1
"According to the latest update, the basketball team scored a last minute basket",0
"During the event, the study examined the effects of climate change",1
"The latest report stated, the telescope captured images of a distant star",1
"During the event, the cricket board announced the squad",0
"New information shows, the athlete received a gold medal",0
"Recently, the football team reached the final",0
"According to the latest update, the minister addressed parliament",2
"In a recent announcement, the striker scored two goals",0
"Officials said, the team lost the opening match",0
"During the event, the study examined the effects of climate change",1
"Officials said, researchers developed a method for detecting cancer earlier",1
"Yesterday, the laboratory tested the new material",1
"In the latest report, the runner finished first in the race",0
"Recently, scientists studied how cells respond to stress",1
"Yesterday, india won the cricket match",0
"New information shows, the parliament voted on the bill",2
"Officials said, the player broke the tournament record",0
"The latest report stated, the experiment produced promising results",1
"Recently, the government approved the proposed budget",2
"Yesterday, india won the cricket match",0
"Officials said, the cabinet approved the proposal",2
"New information shows, the athlete received a gold medal",0
"In a recent announcement, the striker scored two goals",0
"Recently, the government approved the proposed budget",2
"According to the latest update, the minister addressed parliament",2
"The latest report stated, the president signed the new legislation",2
"Yesterday, the batsman hit six boundaries",0
"Today, virat Kohli scored a century",0
"The latest report stated, the president signed the new legislation",2
"The latest report stated, the referee stopped the game",0
"Recently, the government approved the proposed budget",2
"During the event, the cricket board announced the squad",0
"In a recent announcement, the government introduced a new tax policy",2
"The latest report stated, the team won the series",0
"New information shows, scientists measured changes in ocean temperature",1
"New information shows, the government released a statement about the policy",2
"The latest report stated, the experiment produced promising results",1
"New information shows, the stadium was filled with supporters",0
"Today, the government announced a new policy",2
"New information shows, the government released a statement about the policy",2
"The latest report stated, the cabinet discussed the economic plan",2
"Yesterday, the government published its annual budget",2
"The latest report stated, the president signed the new legislation",2
"Recently, officials announced a new public policy",2
"In a recent announcement, scientists published the results of a new experiment",1
"Recently, the football team reached the final",0
"The latest report stated, the cabinet discussed the economic plan",2
"Officials said, the team lost the opening match",0
"Recently, scientists studied how cells respond to stress",1
"Today, scientists discovered a new planet",1
"During the event, the election commission released new guidelines",2
"Officials said, the player broke the tournament record",0
"In a recent announcement, scientists created a model of the Earth's atmosphere",1
"Today, researchers discovered a new chemical compound",1
"In the latest report, the legislature approved the measure",2
"Yesterday, nASA launched a new telescope",1
"Officials said, researchers tested a new medical device",1
"Today, scientists discovered a new planet",1
"Today, virat Kohli scored a century",0
"According to the latest update, astronomers observed an unusual signal from space",1
"Officials said, the player broke the tournament record",0
"New information shows, scientists measured changes in ocean temperature",1
Scientists recorded a rare astronomical event,1
"During the event, astronomers detected a distant galaxy",1
"The latest report stated, the president signed the new legislation",2
"Yesterday, parliament passed a new bill",2
"Today, the ministry announced changes to the program",2
"The latest report stated, the telescope captured images of a distant star",1
"Yesterday, the laboratory tested the new material",1
"In the latest report, the minister announced new regulations",2
"In a recent announcement, the player returned after an injury",0
The election authority announced the voting schedule,2
"Recently, the football team reached the final",0
"In the latest report, the tennis player won the championship",0
"Recently, scientists studied how cells respond to stress",1
"Today, the ministry announced changes to the program",2
"New information shows, the parliament voted on the bill",2
"New information shows, the stadium was filled with supporters",0
"During the event, the captain announced his retirement",0
"The latest report stated, the experiment produced promising results",1
"In the latest report, the legislature approved the measure",2
"During the event, the captain announced his retirement",0
"According to the latest update, the minister addressed parliament",2
The referee stopped the game,0
"Recently, the government approved the proposed budget",2
"In a recent announcement, scientists published the results of a new experiment",1
"According to the latest update, astronomers observed an unusual signal from space",1
"During the event, the captain announced his retirement",0
"In the latest report, the tennis player won the championship",0
"New information shows, the stadium was filled with supporters",0
"Officials said, the player broke the tournament record",0
"The latest report stated, the cabinet discussed the economic plan",2
"Officials said, researchers tested a new medical device",1
"In a recent announcement, the election authority announced the voting schedule",2
"The latest report stated, the team won the series",0
"Officials said, researchers tested a new medical device",1
"Yesterday, parliament passed a new bill",2
"Recently, scientists studied how cells respond to stress",1
"In a recent announcement, scientists published the results of a new experiment",1
"The latest report stated, the team won the series",0
"Yesterday, india won the cricket match",0
"Officials said, researchers developed a method for detecting cancer earlier",1
"In the latest report, the minister announced new regulations",2
"Recently, researchers developed a faster battery",1
"The latest report stated, the telescope captured images of a distant star",1
"In a recent announcement, the government introduced a new tax policy",2
"The latest report stated, the experiment produced promising results",1
"During the event, the captain announced his retirement",0
"Yesterday, nASA launched a new telescope",1
Parliament debated the education bill,2
"New information shows, scientists recorded a rare astronomical event",1
"New information shows, the stadium was filled with supporters",0
"Today, the government announced a new policy",2
"New information shows, the government released a statement about the policy",2
"Yesterday, india won the cricket match",0
"Recently, officials announced a new public policy",2
"According to the latest update, the minister addressed parliament",2
"In the latest report, the minister announced new regulations",2
"In a recent announcement, the player returned after an injury",0
"The latest report stated, the telescope captured images of a distant star",1
"Recently, the football team reached the final",0
"Today, virat Kohli scored a century",0
"The latest report stated, the cabinet discussed the economic plan",2
"The latest report stated, the team won the series",0
"Recently, the government approved the proposed budget",2
Scientists studied how cells respond to stress,1
"Officials said, researchers developed a method for detecting cancer earlier",1
"Recently, the goalkeeper made an important save",0
"According to the latest update, astronomers observed an unusual signal from space",1
"New information shows, the stadium was filled with supporters",0
"Officials said, the player broke the tournament record",0
"In the latest report, the legislature approved the measure",2
"Yesterday, nASA launched a new telescope",1
"According to the latest update, the tournament begins next week",0
"The latest report stated, the telescope captured images of a distant star",1
"Today, scientists discovered a new planet",1
"The latest report stated, the president signed the new legislation",2
"Recently, officials announced a new public policy",2
"Recently, the goalkeeper made an important save",0
"In a recent announcement, scientists created a model of the Earth's atmosphere",1
"The latest report stated, the experiment produced promising results",1
"In the latest report, scientists identified a new species",1
"In a recent announcement, scientists created a model of the Earth's atmosphere",1
"Recently, the football team reached the final",0
"Recently, researchers developed a faster battery",1
"New information shows, the stadium was filled with supporters",0
"Recently, the goalkeeper made an important save",0
"Yesterday, nASA launched a new telescope",1
"Officials said, researchers developed a method for detecting cancer earlier",1
"During the event, the cricket board announced the squad",0
"Officials said, the team lost the opening match",0
"In the latest report, the runner finished first in the race",0
"The latest report stated, the referee stopped the game",0
"The latest report stated, the experiment produced promising results",1
"During the event, astronomers detected a distant galaxy",1
"In the latest report, the legislature approved the measure",2
The football team reached the final,0
"According to the latest update, astronomers observed an unusual signal from space",1
"In a recent announcement, the player returned after an injury",0
"During the event, astronomers detected a distant galaxy",1
"Officials said, the team lost the opening match",0
"In the latest report, the minister announced new regulations",2
"Today, virat Kohli scored a century",0
"According to the latest update, researchers found evidence of ancient water on Mars",1
"During the event, the election commission released new guidelines",2
"Officials said, researchers developed a method for detecting cancer earlier",1
"During the event, the election commission released new guidelines",2
"Yesterday, india won the cricket match",0
"During the event, the election commission released new guidelines",2
"Recently, the goalkeeper made an important save",0
"New information shows, the stadium was filled with supporters",0
"According to the latest update, the basketball team scored a last minute basket",0
"Today, scientists discovered a new planet",1
"In the latest report, scientists identified a new species",1
"In a recent announcement, scientists created a model of the Earth's atmosphere",1
"During the event, the study examined the effects of climate change",1
"Yesterday, the batsman hit six boundaries",0
"In a recent announcement, the striker scored two goals",0
"According to the latest update, parliament debated the education bill",2
"Yesterday, india won the cricket match",0
"According to the latest update, the tournament begins next week",0
"New information shows, scientists measured changes in ocean temperature",1
The government proposed changes to existing laws,2
"In a recent announcement, scientists created a model of the Earth's atmosphere",1
"Recently, the goalkeeper made an important save",0
"During the event, the cricket board announced the squad",0
"New information shows, the government released a statement about the policy",2
"Today, researchers discovered a new chemical compound",1
"During the event, the cricket board announced the squad",0
Scientists identified a new species,1
"Today, the coach praised the team's performance",0
"In a recent announcement, the striker scored two goals",0
"Yesterday, the government published its annual budget",2
"New information shows, the athlete received a gold medal",0
"The latest report stated, the experiment produced promising results",1
"Recently, the goalkeeper made an important save",0
"The latest report stated, the team won the series",0
"Officials said, researchers developed a method for detecting cancer earlier",1
"In a recent announcement, the election authority announced the voting schedule",2
"Officials said, parliament approved the new amendment",2
"Today, virat Kohli scored a century",0
"Yesterday, the batsman hit six boundaries",0
"Officials said, researchers developed a method for detecting cancer earlier",1
"The latest report stated, the telescope captured images of a distant star",1
"During the event, the captain announced his retirement",0
"In the latest report, researchers analyzed samples from the ocean floor",1
"New information shows, scientists recorded a rare astronomical event",1
"New information shows, the stadium was filled with supporters",0
"New information shows, scientists recorded a rare astronomical event",1
"During the event, the cricket board announced the squad",0
"In a recent announcement, the striker scored two goals",0
"Today, virat Kohli scored a century",0
"The latest report stated, the president signed the new legislation",2
"According to the latest update, the minister addressed parliament",2
"New information shows, the government released a statement about the policy",2
"New information shows, the athlete received a gold medal",0
"In the latest report, the tennis player won the championship",0
"New information shows, the athlete received a gold medal",0
"Recently, the goalkeeper made an important save",0
"In a recent announcement, the government introduced a new tax policy",2
"In a recent announcement, the election authority announced the voting schedule",2
"The latest report stated, the cabinet discussed the economic plan",2
"New information shows, the athlete received a gold medal",0
"During the event, the government proposed changes to existing laws",2
"Officials said, researchers tested a new medical device",1
"In the latest report, scientists identified a new species",1
"Today, scientists discovered a new planet",1
"Recently, researchers developed a faster battery",1
"Yesterday, parliament passed a new bill",2
"In a recent announcement, the player returned after an injury",0
"In the latest report, the minister announced new regulations",2
"In a recent announcement, the election authority announced the voting schedule",2
"Recently, the football team reached the final",0
"The latest report stated, the president signed the new legislation",2
"Officials said, the team lost the opening match",0
"Today, the government announced a new policy",2
"During the event, the election commission released new guidelines",2
"According to the latest update, the minister addressed parliament",2
"During the event, the election commission released new guidelines",2
"Officials said, the team lost the opening match",0
"According to the latest update, the basketball team scored a last minute basket",0
Parliament approved the new amendment,2
"Yesterday, the laboratory tested the new material",1
"In a recent announcement, the election authority announced the voting schedule",2
"In the latest report, scientists identified a new species",1
"Recently, the goalkeeper made an important save",0
"In a recent announcement, scientists published the results of a new experiment",1
"Yesterday, parliament passed a new bill",2
"According to the latest update, parliament debated the education bill",2
"New information shows, scientists measured changes in ocean temperature",1
"During the event, the study examined the effects of climate change",1
"During the event, the government proposed changes to existing laws",2
"According to the latest update, parliament debated the education bill",2
"Today, researchers discovered a new chemical compound",1
"In a recent announcement, the striker scored two goals",0
"Yesterday, india won the cricket match",0
"Recently, the government approved the proposed budget",2
The team lost the opening match,0
"The latest report stated, the referee stopped the game",0
Researchers developed a faster battery,1
"Yesterday, nASA launched a new telescope",1
"Today, the ministry announced changes to the program",2
"In a recent announcement, the striker scored two goals",0
"The latest report stated, the telescope captured images of a distant star",1
"Yesterday, the government published its annual budget",2
"New information shows, the parliament voted on the bill",2
"Today, the ministry announced changes to the program",2
"Officials said, the player broke the tournament record",0
"During the event, the cricket board announced the squad",0
"New information shows, scientists measured changes in ocean temperature",1
The coach praised the team's performance,0
"The latest report stated, the president signed the new legislation",2
"Recently, the football team reached the final",0
"Today, researchers discovered a new chemical compound",1
"In a recent announcement, the striker scored two goals",0
"The latest report stated, the team won the series",0
"According to the latest update, the basketball team scored a last minute basket",0
"In the latest report, the tennis player won the championship",0
"Officials said, parliament approved the new amendment",2
"Recently, officials announced a new public policy",2
"New information shows, scientists recorded a rare astronomical event",1
"Yesterday, the government published its annual budget",2
"Officials said, researchers tested a new medical device",1
"Yesterday, the government published its annual budget",2
"Today, the government announced a new policy",2
"Recently, researchers developed a faster battery",1
"New information shows, the government released a statement about the policy",2
"According to the latest update, researchers found evidence of ancient water on Mars",1
"Yesterday, parliament passed a new bill",2
"Officials said, the cabinet approved the proposal",2
"During the event, the study examined the effects of climate change",1
"Yesterday, india won the cricket match",0
"In the latest report, the minister announced new regulations",2
"Today, the ministry announced changes to the program",2
"Yesterday, the batsman hit six boundaries",0
"During the event, the government proposed changes to existing laws",2
"According to the latest update, the tournament begins next week",0
"New information shows, scientists measured changes in ocean temperature",1
"According to the latest update, researchers found evidence of ancient water on Mars",1
